Case Model,Width (inches),Depth (inches),Square Footage,Rounded Square Footage,Bolea Square Footage,Square Footage with Space in Warehouse,Case Size,AltDescription
BMD-6R MIT L/R Service Bakery,105,50,36.4583,37,,45,,
BMD-6R MIT R Service Bakery,105,50,36.4583,37,,45,,
BMD-6R-54-Bakery-CBOM,105,50,36.4583,37,,45,,
BMD-6R-54-Bakery-MIT-CBOM,105,50,36.4583,37,,45,,
BMD-6R-54-BK-MIT-Fort7580-CBOM,105,50,36.4583,37,,45,,
BMD-8R,105,50,36.4583,37,,40,8',Specialty Case
BMD-8R-51-Bakery-CBOM,105,48,35,35,,40,,
BMD-8R-54,105,50,36.4583,37,,45,8',service deli
BMD-8R-54-Bakery-CBOM,105,48,35,35,,40,,
BMD-8R-54-Bakery-MIT-CBOM,105,50,36.4583,37,,45,8',
BMD-8R-54-Bakery-MIT-CBOM,125,50,43.4028,44,,50,,
BNKR1700A7,71,40,19.7222,20,,25,,
BNKR1700A8,71,40,19.7222,20,,25,,
BNKR1700A9,71,40,19.7222,20,,25,,
BNKR1940EA1,81,39,21.9375,22,,25,,
BNKR1940EA7,81,40,22.5,23,,25,,
BNKR1940EA8,81,40,22.5,23,,25,,
BNKR1940EA9,81,40,22.5,23,,25,,
BNKR2200A1,90,40,25,25,,30,,
BNKR2200A7,102,40,28.3333,29,,35,,
BNKR2200A8,102,40,28.3333,29,,35,,
BNKR2200A9,102,40,28.3333,29,,35,,
BNKR2500A7,102,40,28.3333,29,,35,,
BNKR2500A8,102,40,28.3333,29,,35,,
BNKR2500A9,102,40,28.3333,29,,30,,
BOSTON 6 FG VD - BS=085/054 08I,108,54,40.5,41,,45,,
"brema 2 portes h74""",65,48,21.6667,22,,25,,"91 1/4"" high"
"brema 3 portes H67""",95,48,31.6667,32,,35,,
"brema 3 portes H74""",95,48,31.6667,32,,35,,
"brema 4 portes h74""",125,48,41.6667,42,,45,,
"brema 5 portes h67""",155,48,51.6667,52,,55,,
"brema 5 portes h74""",155,48,51.6667,52,,55,,
BSDSW-10R,130,70,63.1944,64,68,68,10',Specialty Case
BSDSW-10R Box,66,48,22,22,25,25,,accessories for BSDSW-10R
BSDSW-12R,150,49,51.0417,52,60,60,,
BSD-SW-12R-SEAFOOD,150,50,52.0833,53,,60,,
BSD-SW-12R-Seafood-7580-CBOM,150,49,51.0417,52,60,60,,
BSD-SW-12R-Seafood-7580-CBOM,150,50,52.0833,53,55,60,,
BSD-SW-4R-CBOM,56,70,27.2222,,,35,,
BSD-SW-6R-CBOM,105,70,51.0417,52,,55,,
BSD-SW-6R-CBOM,84,70,40.8333,,,45,,
BSDSW-8R,105,70,51.0417,52,55,55,8',Specialty Case
BSDSW-8R,105,70,51.0417,52,,55,,
BSDSW-8R,105,70,51.0417,52,55,55,,
BSDSW-8R,157,118,128.6528,129,130,130,,
BSD-SW-8R-SEAFOOD-7580,105,70,51.0417,52,,55,,
BSD-SW-8R-Seafood-7580-CBOM,105,50,36.4583,37,,50,,
BSD-SW-8R-Seafood-7580-CBOM,105,70,51.0417,52,55,55,,
BSD-SW-8R-Seafood-7580-CBOM,204,118,167.1667,168,,170,,
BWU 96D,108,50,37.5,38,,45,,
BWU-144D,152,50,52.7778,53,55,55,,
BWU-59D-CBOM,66,48,22,22,,25,,
BWU-96D-7580-CBOM,105,48,35,35,40,40,,
CF-4S-CBOM,56,50,19.4444,20,,25,,
CF-6S,75,48,25,25,,30,,
CF-S-8R-CBOM,105,40,29.1667,30,,35,,
CNEZLA6,75,48,25,25,,25,,
CNZLA8,100,48,33.3333,34,,35,,
CWC-10D-CBOM,130,50,45.1389,46,,50,,
CWC-10H,176,60,73.3333,74,,80,,Specialty Case
CWC-10Hot Counter,130,50,45.1389,46,,50,12',Specialty Case
CWC-12D-CBOM,152,50,52.7778,53,,55,,
CWC-12R-RLS,152,66,69.6667,70,,75,12',Pizza Counter with Refrigerated Prep
CWC-12R-RLS,152,66,69.6667,70,,75,12',noodle bar with hot and cold sections
CWC-1Dry-Counter,30,50,10.4167,11,15,15,,
CWC-1Dry-Counter,30,50,10.4167,11,15,15,,
CWC-2D-CBOM,36,36,9,9,,20,,
CWC-2Dry-Counter,48,50,16.6667,17,20,20,,
CWC-2H-CBOM,36,36,9,9,20,20,,
CWC-3,40,48,13.3333,14,,20,3',
CWC-3D-CBOM,40,48,13.3333,14,,20,,
CWC-3H-CBOM,40,48,13.3333,14,,20,,
CWC-45°,56,55,21.3889,22,,30,45°,exterior dry wedge
CWC-45D-IW,50,50,17.3611,18,,20,12',Specialty Case
CWC-45IW,0,0,0,0,,,,ships with CWC-10
CWC-4D-CBOM,60,49,20.4167,21,25,25,,
CWC-4DCheeseTable-7580-CBOM,56,50,19.4444,20,,25,,
CWC-4DCheeseTable-7580-CBOM,56,56,21.7778,22,25,25,,
CWC-4D-DLS-CBOM,56,43,16.7222,17,20,20,,specialty case
CWC-4Dry-Counter,56,50,19.4444,20,25,25,,
CWC-4Dry-Counter,56,50,19.4444,20,25,25,,
CWC-4Dry-Counter,56,56,21.7778,22,25,25,,4' Dry Counter
CWC-4H-CBOM,56,56,21.7778,25,30,30,,Specialty Case
CWC-4Hot-Counter,60,60,25,25,30,30,,
CWC-4Hot-Counter,74,60,30.8333,31,,35,,
CWC-4Hot-Counter,56,50,19.4444,20,25,25,,
CWC-4Hot-Counter,56,56,21.7778,22,25,25,,4' Hot Counter
CWC-4Hot-Counter,56,56,21.7778,22,25,25,,
CWC-4Ref-Counter,74,60,30.8333,31,,35,,
CWC-5D-CBOM,105,48,35,35,40,40,,
CWC-5Dry-Counter,66,56,25.6667,26,30,30,,
CWC-5H,105,48,35,35,40,40,5',
CWC-5H-CBOM,105,48,35,35,,40,,
CWC-6D-CBOM,82,66,37.5833,38,,40,,
CWC-6H,82,66,37.5833,38,,45,6',Carvery with miter left
CWC-6H-CarvingStation7580-CBOM,84,50,29.1667,30,35,35,,
CWC-6H-CarvingStation7580-CBOM,84,50,29.1667,30,35,35,,
CWC-6H-CBOM,82,66,37.5833,38,,40,,
CWC-6Hot-Counter,84,48,28,28,32,32,,
CWC-6R-CBOM,84,50,29.1667,30,,35,,
CWC-7D-CBOM,96,56,37.3333,38,,40,,
CWC-7Dry-Counter,96,50,33.3333,34,,40,,
CWC-7Dry-Counter,96,56,37.3333,38,40,40,,
CWC-7H,96,60,40,40,,45,7',radius soup counter
CWC-80-CBOM,105,66,48.125,49,,55,,
CWC-8D-CBOM,105,50,36.4583,37,,40,,
CWC-8H,105,66,48.125,49,,55,8',hot foods
CWC-8H-CBOM,105,56,40.8333,41,45,45,,
CWC-8Hot-Counter,144,50,50,50,,55,,
cwc-8r-cbom,105,42,30.625,31,,35,,
CWC-9D-CBOM,144,50,,,,55,,
CWC-9Dry-Counter,144,50,50,50,,55,,
CWC-Dry-Wedge,50,50,17.3611,18,24,24,,
db-12R,148,48,49.3333,50,55,55,,
DB-4R-RLS-CBOM,50,50,17.3611,18,,25,,
DB-8R-RLS-CBOM,105,50,36.4583,37,,45,,
DBC-10RLS,130,50,45.1389,46,,50,,Specialty Case
DLPC-10R-CBOM,130,50,45.1389,46,,50,,
DLPC-12R,212,66,97.1667,98,,98,12',s/w DLPC-90EW
DLPC-12R Cheese,212,66,97.1667,98,,98,,
DLPC-12R Cheese,212,66,97.1667,98,,98,,
DLPC-12R Cheese,212,66,97.1667,98,,98,,
DLPC-12R-7580-CBOM,200,56,77.7778,78,,85,,
DLPC-12R-CBOM,212,66,97.1667,98,,98,12',s/w DLPC-90EW
DLPC-6R-CBOM,80,50,27.7778,,,32,,
DLPC-8R,168,66,77,77,,80,8',s/w DLPC-90EW
DLPC-8R Cheese,168,66,77,77,,80,,
DLPC-8R-7580-CBOM,152,56,59.1111,60,,60,,
DLPC-8R-CBOM,152,56,59.1111,60,,60,,
DLPC-8R-CBOM,168,66,77,77,,80,8',s/w DLPC-90EW
DLPC-90EW,0,0,0,0,,,,Specialty Case
DLPC-90EWR Cheese,0,0,0,0,,0,,
DLPC-90EWR Cheese,0,0,0,0,,0,,
DLPC-90EWR Cheese,0,0,0,0,,0,,
DLPC-90EWR Cheese,0,0,0,0,,0,,
DLPC-90EW-R-7580-CBOM,0,0,0,0,,0,,
DLPC-90EW-R-CBOM,0,0,0,0,,0,,
DLPF-12R-50-CBOM,152,50,52.7778,53,,55,,
DLPF-4R,56,50,19.4444,20,,25,,
DLPF-4R-52-CBOM,56,50,19.4444,20,,25,,
DLPF-6R Sushi,84,48,28,28,,30,,
DLPF-6R-50-CBOM,80,50,27.7778,28,32,32,6',Specialty Case
DLPF-8R,105,50,36.4583,37,,40,,Specialty Case
DLPF-8R-50-CBOM,105,50,36.4583,37,,40,,
EOA,90,42,26.25,27,,30,,
FEA-7580,84,56,32.6667,33,,40,,
FEA-Remote,84,56,32.6667,33,,40,,
FNGSC6A,77,44,23.5278,24,,26,,
FNGSC8A,100,44,30.5556,31,,35,,
FT-12R-CBOM,152,50,52.7778,53,,55,,
FT-4R-CBOM,60,49,20.4167,21,25,25,,floral case 4'
FT-6R-CBOM,105,50,36.4583,37,,40,,
FT-84,105,50,36.4583,37,40,40,,
FT-8R-48-7580-CBOM,105,50,36.4583,37,40,40,,
FT-8R-CBOM,105,50,36.4583,37,40,40,,8' Floral
FW-12G,165,86,98.5417,99,,100,,
FW12GM,165,86,98.5417,99,,100,,
FW-8,114,86,68.0833,69,,70,,
FW8GM,114,86,68.0833,69,,70,,
FWEG,84,48,28,28,,30,,
FWG12,165,86,98.5417,99,,100,,
FWG8,144,86,86,86,,70,,
GLASGOW2 FG 100/096 F20 08I,100,44,30.5556,31,,35,,actual dims 96x42x58 1000lbs
GLASGOW2 FV 100/096 F20 08I,100,44,30.5556,31,,35,,
GMD-10R,130,50,45.1389,46,,50,,Specialty Case
GMD-10R-CBOM,130,50,45.1389,46,50,50,,Specialty Case
GMD-10RGC-CBOM,130,60,54.1667,55,,55,,
GMD-11R-CBOM,135,50,46.875,47,,55,,
GMD-12H,152,50,52.7778,53,,55,,Specialty Case
GMD-12H Service Hot,152,50,52.7778,,,55,,
GMD-12H-7580-CBOM,152,50,52.7778,53,55,55,,
GMD-12H-CBOM,152,50,52.7778,53,,55,,
GMD-12H-Fortinos-7580-CBOM,152,50,52.7778,53,55,55,,
GMD-12R,152,50,52.7778,53,,55,,Specialty Case
GMD-12R-7580-CBOM,152,50,52.7778,53,,55,,Specialty Case
GMD-12R-7580-CBOM,152,50,52.7778,53,,60,,
GMD-12R-7580-CBOM,152,50,52.7778,53,,60,,
GMD-12R-7580-CBOM,152,50,52.7778,53,55,55,,12' Service Deli
GMD-12R-7580-CBOM,152,50,52.7778,53,55,55,,
GMD-12R-BAKERY,152,50,52.7778,53,,55,,
GMD-12R-Bakery 7673-CBOM,152,50,52.7778,,,55,,
GMD-12R-CBOM,152,50,52.7778,53,,55,,
GMD-12R-Deli-767,152,50,52.7778,,,55,,
GMD-12R-Deli-7673-CBOM,152,50,52.7778,53,,55,,
GMD-12RGC,152,50,52.7778,53,,55,,
GMD-12RGC-CBOM,152,50,52.7778,53,,55,,
GMD-12RGC-CBOM,152,50,52.7778,53,55,55,,
GMD-12RGC-SSC-7580-CBOM,152,50,52.7778,53,55,55,,
GMD-3R-MIT-Bakery-7580-CBOM,50,50,17.3611,18,,20,,
GMD-3R-MIT-CBOM,105,94,68.5417,69,,75,,
GMD-3R-MIT-CBOM,105,90,65.625,66,70,70,,
GMD-3R-MIT-CBOM,105,90,65.625,66,70,70,,
GMD-3R-MIT-CBOM,105,90,65.625,66,70,70,,
GMD-3R-MIT-CBOM,105,90,65.625,66,70,70,,
GMD-4D-7580-CBOM,56,50,19.4444,20,,25,,
GMD-4D-7580-CBOM,56,50,19.4444,20,25,25,,
GMD-4D-CBOM,56,50,19.4444,20,,25,,
GMD-4D-CBOM,56,50,19.4444,20,25,25,,
GMD-4H-7580-CBOM,56,50,19.4444,20,,25,,
GMD-4R-7580-CBOM,56,50,19.4444,20,,25,,
GMD-4R-CBOM,56,50,19.4444,20,25,25,,
GMD-6H,84,50,29.1667,30,,30,,Specialty Case
GMD-6H-7580-CBOM,84,50,29.1667,30,35,35,,6' Service Hot
GMD-6R,84,50,29.1667,30,,30,,Specialty Case
GMD-6R Salads,84,48,28,28,,30,,
GMD-6R-7580-CBOM,84,50,29.1667,30,,30,,Specialty Case
GMD-6R-7580-CBOM,84,50,29.1667,30,,40,,
GMD-6R-7580-CBOM,84,50,29.1667,30,35,35,,
GMD-6R-Bakery-7580-CBOM,80,50,27.7778,28,,30,,
GMD-6R-CBOM,84,50,29.1667,30,,40,,
GMD-6R-Fortinos-7580-CBOM,80,48,26.6667,27,,30,,
GMD-6RGC-SSC-CBOM,85,50,29.5139,30,,35,,
GMD-7R-CBOM,96,50,33.3333,34,35,35,,
GMD-7R-CBOM,96,50,33.3333,34,35,35,,
GMD-8H,105,50,36.4583,37,,40,,Specialty Case
GMD-8H Service Hot Foods,105,50,36.4583,37,,40,,
GMD-8H Service Hot Foods,105,50,36.4583,37,,40,,
GMD-8H-7580-CBOM,105,50,36.4583,37,40,40,,
GMD-8H-7580-CBOM,105,50,36.4583,37,40,40,,8' Service Hot
GMD-8H-7580-CBOM,105,50,36.4583,37,42,42,,
GMD-8H-CBOM,105,50,36.4583,37,,40,,
GMD-8R,105,50,36.4583,37,,40,,Specialty Case
GMD-8R Service Salad,105,50,36.4583,37,,40,,
GMD-8R-7580-Bakery-CBOM,105,50,36.4583,37,40,40,,
GMD-8R-7580-Bakery-CBOM,105,50,36.4583,37,40,40,,
GMD-8R-7580-Deli-CBOM,105,50,36.4583,37,,40,,Specialty Case
GMD-8R-7580-Deli-CBOM,105,50,36.4583,37,40,40,,8' Service Deli
GMD-8R-7580-Deli-CBOM,105,50,36.4583,37,40,40,,8' Service Deli
GMD-8R-7580-Deli-CBOM,105,50,36.4583,37,40,40,,
GMD-8R-7580-Deli-CBOM,105,50,36.4583,37,40,40,,
GMD-8R-7580-Deli-CBOM,105,50,36.4583,37,40,40,,
GMD-8R-7580-Deli-CBOM,105,50,36.4583,37,40,40,,
GMD-8R-7580-Deli-CBOM,105,50,36.4583,37,42,42,,
GMD-8R-7580-Deli-CBOM,105,50,36.4583,37,42,42,,
GMD-8R-Bakery-7673-CBOM,105,50,36.4583,37,40,40,,
GMD-8R-CBOM,105,50,36.4583,37,,40,,
GMD-8RGC,105,50,36.4583,37,40,40,,
GMD-8RGC-CBOM,105,50,36.4583,37,40,40,,
GMD-8RGC-SSC-7580-CBOM,105,50,36.4583,37,,40,,
GMD-8RGC-SSC-7580-CBOM,105,50,36.4583,37,40,40,,
GMD-8RGC-SSC-CBOM,105,50,36.4583,37,,40,,
GMO-1OR-CBOM,152,50,52.7778,53,,60,,
GSD-4SC-LT,56,50,19.4444,20,,25,,
GSD-4SC-LT,56,50,19.4444,20,25,25,,
GSD-4S-LT-Gelato-7580-CBOM,56,50,19.4444,25,25,25,,Specialty Case
HS-4R-CBOM,56,56,21.7778,22,,25,,
HS-4S-CBOM,56,56,21.7778,22,,25,,
HS-6R-CBOM,84,50,29.1667,30,,35,,
HS-6S-CBOM,84,56,32.6667,33,,35,,
HS-8R-CBOM,105,56,40.8333,41,,45,,
HS-8S-CBOM,105,56,40.8333,41,,45,,
HSC-12R,152,50,52.7778,53,,60,,
HSC-12R-CBOM,152,50,52.7778,53,,60,,
HSC-12R-CBOM,152,50,52.7778,53,60,60,,
HSC-12S-7580-CBOM,152,42,44.3333,45,,60,,
HSC-4R-CBOM,56,48,18.6667,19,,25,,
HSC-6R,80,50,27.7778,28,35,35,,
HSC-6R-7580,82,52,29.6111,30,35,35,,
HSC-6R-7580,82,52,29.6111,30,35,35,,
HSC-6R-CBOM,82,52,29.6111,30,,35,,
HSC-6R-CBOM,80,50,27.7778,28,35,35,,
HSC-6S-8347-CBOM,84,52,30.3333,31,40,40,,
HSC-8R,105,50,36.4583,37,45,45,,
HSC-8R-7580,105,52,37.9167,38,40,40,,
HSC-8R-7580,105,52,37.9167,38,40,40,,
HSC-8R-CBOM,105,50,36.4583,37,45,45,,
HSC-8S-7580-CBOM,108,42,31.5,32,,35,,
HSC-8S-8347-CBOM,108,42,31.5,32,40,40,,
HSCN-12R-7580-CBOM,152,42,44.3333,45,,45,,
HSCN-12S-7580-CBOM,152,42,44.3333,45,50,50,,
HSCN-6R-7580-CBOM,82,42,23.9167,24,,25,,
HSCN-6S-7580-CBOM,84,52,30.3333,31,40,40,,
HSCN-6S-7580-CBOM,82,52,29.6111,30,40,40,,
HSCN-8R-7580-CBOM,108,42,31.5,32,40,35,,
HSCN-8S-7580-CBOM,108,42,31.5,32,,35,,
IC2XSL12,148,48,49.3333,50,48,50,,
IC2XSL8,100,48,33.3333,34,,40,,
ID5SL12,150,44,45.8333,46,,50,,
ID5SL4,55,44,16.8056,17,,20,,
ID5SL6,80,44,24.4444,25,,35,,
ID5SL8,99,44,30.25,31,,30,,
ID5SM12,150,44,45.8333,46,,50,,
ID5SM6,85,44,25.9722,26,,30,,
ID5SM8,100,44,30.5556,31,,40,,
idd5su12,150,44,45.8333,46,,50,,
idd5su8,75,44,22.9167,23,,30,,
IDD6NU12,150,44,45.8333,46,,50,,
IDD6SL12,150,44,45.8333,46,,50,,
idd6sL4,50,44,15.2778,16,,20,,
idd6SL6,99,44,30.25,31,,35,,
idd6sL8,75,44,22.9167,23,,30,,
IDD6SU12,150,44,45.8333,46,,50,,
idd6su4,50,44,15.2778,16,,20,,
idd6SU6,99,44,30.25,31,,35,,
idd6su8,75,44,22.9167,23,,30,,
IDDS6SU8,100,44,30.5556,31,,40,,
IDDSU12,150,44,45.8333,46,,50,,
IDDSU4,50,44,15.2778,16,,20,,
IDDSU6,80,44,24.4444,25,,30,,
IDDSU8,100,44,30.5556,31,,40,,
IM5SL12,150,44,45.8333,46,,50,,
IM5SL4,50,44,15.2778,16,,20,,
IM5SL6,80,44,24.4444,25,,30,,
IM5SL6,75,44,22.9167,23,,30,,
IM5SL8,99,44,30.25,31,,35,,
INLINE,95,42,27.7083,28,,30,,
IP2SL12,150,44,45.8333,46,,50,,
IP2SL4,50,44,15.2778,16,,20,,
IP2SL6,80,44,24.4444,25,,30,,
IP2SL8,99,44,30.25,31,,35,,
IP4SL12,150,44,45.8333,46,,50,,
IP4SL4,55,44,16.8056,17,,20,,
IP4SL6,75,44,22.9167,23,,30,,
IP4SL8,100,44,30.5556,31,,40,,
JNRBHSA2,65,48,21.6667,22,,25,,
JNRBHSA2D,65,45,20.3125,21,25,25,,
JNRBHSA3,90,48,30,30,,35,,
JNRBHSA4,130,48,43.3333,44,,45,,
JNRBHSA5,155,48,51.6667,52,,55,,
JNRBHSAHR12,155,48,51.6667,52,,55,,
JNRBHSAHR12,155,48,51.6667,52,,55,,
JNRBHSAHR2,70,48,23.3333,24,,30,,
JNRBHSAHR3,100,48,33.3333,34,,35,,
JNRBHSAHR4,125,48,41.6667,42,,45,,
JNRBHSAHR5,155,48,51.6667,52,,55,,
JNRBHSAHR5,155,48,51.6667,52,,55,,
JNRBHSAHR6,72,48,24,24,,30,,
JNRBHSAHR8,100,48,33.3333,34,,40,,
JNRBHSAPV2,65,48,21.6667,22,,30,,
JNRBHSAPV2,65,48,21.6667,22,25,25,,
JNRBHSAPV3,90,48,30,30,,35,,
JNRBHSAPV4,130,48,43.3333,44,,45,,
JNRBHSAPV5,155,48,51.6667,52,,55,,
JNRZH2,65,48,21.6667,22,,25,,
JNRZH3,95,48,31.6667,32,,35,,
JNRZH4,125,48,41.6667,42,,45,,
JNRZH5,150,48,50,50,,55,,
JNRZHSA3,90,48,30,30,,35,,
JNRZHSA4,130,48,43.3333,44,,45,,
JNRZHSA5,155,48,51.6667,52,,55,,
JNRZHSAHR5,155,48,51.6667,52,,55,,
JNRZHSAPV3,90,48,30,30,,35,,
JNRZHSAPV4,130,48,43.3333,44,,45,,
KB CAR G IN/C3 EX-PN ROLL,88,5,3.0556,4,,10,,
KFD-4R,56,36,14,14,,20,,Specialty Case
KFD-4R-CBOM,56,36,14,14,,20,,Specialty Case
KFD-6R,84,36,21,21,,25,,Specialty Case
KFD-6R Espresso,84,48,28,28,,30,,
KFD-6R Pastries,0,0,0,0,,0,,
KFD-6R-CBOM,84,36,21,21,,25,,Specialty Case
KFD-6R-Fortinos-7580-CBOM,80,30,16.6667,17,,25,,
KFD-6R-Fortinos-7580-CBOM,80,30,16.6667,17,,25,,
KL4VA15UGDR,48,48,16,16,,20,,
KL4VA15UGDR ,48,48,16,16,,20,,
KLP314DR-S1D-TR7NN,64,22,9.7778,10,,15,,
KLP418DR-S1D-TR7NN,72,22,11,11,,15,,
KLP526DR-S1D-TR7NN,96,22,14.6667,15,,20,,
KLP632DR-S1D-TR7NN,109,22,16.6528,17,,20,,
KLV217CA-S1D-X3821,72,32,16,16,,20,,
KLV217CA-S1D-X3827,72,32,16,16,,20,,
KLV325CG-C1D-X3824,109,32,24.2222,25,,30,,
KLV325CG-S1D-X3834,96,32,21.3333,22,,25,,
KLV331CA-S1D-X3835,72,32,16,16,,20,,
KLV441CG-S1D-X3836,115,32,25.5556,26,,30,,
KM2VA15UGDR,48,48,16,16,,20,,
KPL422CA-S1D-TR722,72,32,16,16,,20,,
Laval 4 G2 Bt-TN 1200MM,60,48,20,20,,25,,
Laval 4 G2 BT-TN 1200MM UI Propane,60,48,20,20,,25,,
lozier - standard skid,48,48,16,20,20,20,,
LSB TB35 105/121 MF 04I...PV03-1 STYLE LSB2,48,44,14.6667,15,,20,,actual dims 48x44x56 540lbs
LSB TB35 105/121 MF 06I...PV03-1 STYLE LSB2,72,44,22,22,,25,,actual dims 72x44x56 625lbs
LSB TB35 105/121 MF 07I...PV03-1 STYLE LSB2,84,44,25.6667,26,,30,,actual dims 84x44x56 730lbs
LSB TB35 105/121 MF 08I...PV03-1 STYLE LSB2,96,44,29.3333,30,,35,,
LSB TB35 105/121 MF12I...PV03-1 STYLE LSB2,150,44,45.8333,46,,50,,actual dims 144x44x56 980lbs
LSB2 T48 105/121 MF 07I...PV03-1,96,48,32,32,,35,,"actual dims 7'6""L x 48""W x 56""h 730lbs"
LSB2 T48 105/121 MF 08I...PV03-1,108,48,36,36,,40,,"actual dims 8'6""L x 48""W x 56""h 850lbs"
LSB2 T48 105/121 MF 12I...PV03-1,155,48,51.6667,52,,55,,"actual dims 12'6""L x 48""W x 56""H 980lbs"
MBI-607R-CBOM,105,75,54.6875,55,,60,,
MBI-607S-CBOM,105,75,54.6875,55,,60,,
MBI-609D-CBOM,130,65,58.6806,59,,60,,
MBI-609R-CBOM,115,78,62.2917,63,,70,,
MBI-609S-CBOM,120,80,66.6667,67,,70,,
MCU-2-CBOM,50,40,13.8889,14,,20,,
MCU-3-CBOM,105,30,21.875,22,25,25,,
MCU-4-CBOM,50,45,15.625,16,,20,,
MCU-5-CBOM,50,45,15.625,16,,20,,
MCU-7-CBOM,42,40,11.6667,12,,16,,
MCU-8-CBOM,50,42,14.5833,15,,20,,
MCWC-12H-CBOM,152,50,52.7778,,,55,,
MINI MALMO 3 G3  06I,80,72,40,40,,50,,
MINI MALMO 3 G3 GONDOLE,72,48,24,24,,30,,
Mini Malmo 4 G3 08M,102,58,41.0833,42,,55,,
Mini Malmo 4 G3 12M,162,72,81,81,,85,,
Mini Malmo 4 G3 Gondole,56,34,13.2222,14,,20,,
NFO-4R-CBOM,56,45,17.5,18,,20,,
NFO-6R-CBOM,80,48,26.6667,27,,35,,
NFO-8R-CBOM,100,48,33.3333,34,,40,,
o/s skid 5'x5',60,60,25,,,25,,
O25UM12,148,48,49.3333,50,48,50,12',Multi-Deck Merchandiser (Deli/Dairy/Meat/Produce/Seafood)
O25UM4,51,48,17,17,16,17,4',Multi-Deck Merchandiser (Deli/Dairy/Meat/Produce/Seafood)
O25UM6,75,48,25,25,24,25,6',Multi-Deck Merchandiser (Deli/Dairy/Meat/Produce/Seafood)
O25UM8,99,48,33,33,32,33,8',Multi-Deck Merchandiser (Deli/Dairy/Meat/Produce/Seafood)
O25UMA6,75,48,25,25,24,25,6',
